98.9661118937 ,
96.0456493387 ,
100.634136986 ,
99.5432936913 ,
99.0557662868 ,
100.268271323 ,
100.190120447 ,
100.541809338 ,
98.4621583446 ,
99.5161234287 ,
99.7532008762 ,
99.7769143844 ,
100.793664218 ,
100.525019653 ,
98.4282392928 ,
98.4463890793 ,
98.9281802911 ,
99.2778040834 ,
100.295960891 ,
98.1783141865 ,
98.5271968884 ,
99.0325509479 ,
98.6800768914 ,
99.0303486424 ,
100.619196609 ,
100.133132243 ,
98.5330038767 ,
98.7797521247 ,
100.029322035 ,
99.4709557027 ,
99.0306117815 ,
98.4323447601 ,
99.4892924525 ,
98.9375064941 ,
100.525734645 ,
98.6782243634 ,
99.797958106 ,
100.275809499 ,
99.0296232828 ,
99.5300937564 ,
99.4443023109 ,
99.8003035776 ,
98.7205274621 ,
99.2973888507 ,
99.5162126423 ,
99.3142434207 ,
98.1982400995 ,
99.0293745432 ,
100.524528709 ,
99.5301133531 ,
98.6940600013 ,
99.8841528261 ,
99.6906057318 ,
98.6964755641 ,
98.9447533792 ,
98.4425193725 ,
100.387082779 ,
