157.136219133 ,
156.110860273 ,
156.406679289 ,
155.367640287 ,
156.155973686 ,
156.578549963 ,
156.395210461 ,
156.877763399 ,
156.607623872 ,
155.661164496 ,
155.361106353 ,
155.867588535 ,
156.405967353 ,
155.61802764 ,
155.899403466 ,
156.40518827 ,
155.126509823 ,
154.861963854 ,
156.65518827 ,
156.575570025 ,
154.871332287 ,
155.603786734 ,
178.606883027 ,
155.383299014 ,
153.89879628 ,
155.883506738 ,
155.91154015 ,
154.948598323 ,
155.907044503 ,
155.618443258 ,
155.359374398 ,
155.639987864 ,
155.900948002 ,
179.639593616 ,
156.444563326 ,
156.133197014 ,
157.387879996 ,
156.875325516 ,
155.868219225 ,
156.88262076 ,
155.3682318 ,
155.118670905 ,
156.663448851 ,
155.36844959 ,
156.6466031 ,
157.144597356 ,
155.618010485 ,
157.155848773 ,
157.387879996 ,
155.882918497 ,
160.085700287 ,
